frame_index,source_frame_index,body_id,flags,detail,reviewer_decision
132,133,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
133,134,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
134,135,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
135,136,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
136,137,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
137,138,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
138,139,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
139,140,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); high_speed_RShoulder: 12.52m/s; high_speed_RElbow: 10.60m/s; high_speed_LShoulder: 5.11m/s",,
140,141,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); high_speed_RShoulder: 12.50m/s; high_speed_RElbow: 10.65m/s; high_speed_LShoulder: 4.73m/s; large_jump: HIP_RIGHT moved 0.921m",,
141,142,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); high_speed_RShoulder: 10.62m/s; high_speed_RElbow: 9.22m/s; high_speed_LShoulder: 4.30m/s; large_jump: BICEPS_LEFT moved 0.178m",,
142,143,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); high_speed_RShoulder: 9.89m/s; high_speed_RElbow: 8.42m/s; high_speed_LShoulder: 4.46m/s; large_jump: FOOT_LEFT moved 0.749m",,
143,144,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: HIP_RIGHT moved 0.490m",,
144,145,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
145,146,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
146,147,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
147,148,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
148,149,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
149,150,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
150,151,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
151,152,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
152,153,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
153,154,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
154,155,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
155,156,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
156,157,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
157,158,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
158,159,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
159,160,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
160,161,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
161,162,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
162,163,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
163,164,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: ANKLE_LEFT moved 0.284m",,
164,165,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: NOSE moved 0.188m",,
165,166,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: HIP_RIGHT moved 0.262m",,
166,167,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
167,168,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
168,169,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
169,170,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
170,171,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
171,172,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
172,173,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
173,174,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
174,175,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
175,176,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
176,177,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
177,178,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
178,179,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
179,180,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_RIGHT moved 0.327m",,
180,181,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
181,182,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
182,183,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
183,184,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
184,185,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
185,186,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
186,187,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
187,188,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
188,189,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
189,190,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
190,191,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
191,192,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
192,193,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
193,194,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
194,195,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
195,196,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
196,197,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: ELBOW_RIGHT moved 0.173m",,
197,198,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
198,199,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
199,200,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
200,201,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
201,202,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1); large_jump: EAR_RIGHT moved 0.163m",,
202,203,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
203,204,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
204,205,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
205,206,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
206,207,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
207,208,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
208,209,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
209,210,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
210,211,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
211,212,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
212,213,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
213,214,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
214,215,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
215,216,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
216,217,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
217,218,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
218,219,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1), LShoulder(conf=1); large_jump: EAR_RIGHT moved 0.176m",,
219,220,1,high_speed_RShoulder: 3.48m/s; high_speed_RElbow: 3.13m/s; large_jump: WRIST_LEFT moved 0.221m,,
220,221,1,large_jump: EAR_RIGHT moved 0.177m,,
222,223,1,large_jump: EAR_RIGHT moved 0.171m,,
225,226,1,low_confidence: RShoulder(conf=1); large_jump: EAR_RIGHT moved 0.340m,,
226,227,1,large_jump: EAR_RIGHT moved 0.281m,,
227,228,1,large_jump: EAR_RIGHT moved 0.161m,,
228,229,1,high_speed_RShoulder: 6.86m/s; high_speed_RElbow: 6.23m/s,,
229,230,1,high_speed_RShoulder: 4.54m/s; high_speed_RElbow: 4.26m/s; large_jump: EAR_RIGHT moved 1.605m,,
230,231,1,low_confidence: RElbow(conf=1); high_speed_RShoulder: 3.87m/s; large_jump: SHOULDER_RIGHT moved 0.256m,,
231,232,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
232,233,1,low_confidence: RShoulder(conf=1),,
233,234,1,low_confidence: RShoulder(conf=1),,
236,237,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
237,238,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
238,239,1,low_confidence: RElbow(conf=1),,
240,241,1,low_confidence: RShoulder(conf=1),,
244,245,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
283,284,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
284,285,1,low_confidence: RElbow(conf=1),,
291,292,1,low_confidence: RElbow(conf=1),,
293,294,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
297,298,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
298,299,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
299,300,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
300,301,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
301,302,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
302,303,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
303,304,1,low_confidence: RElbow(conf=1),,
304,305,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
305,306,1,low_confidence: RElbow(conf=1),,
