prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
237,238,0.0065,0.0378,HIP_RIGHT
238,239,0.003,0.0138,BICEPS_RIGHT
239,240,0.0002,0.0006,WRIST_THUMB_RIGHT
240,241,0.0,0.0,PELVIS
241,242,0.0029,0.0059,CLAVICLE_RIGHT
242,243,0.0001,0.0003,ELBOW_RIGHT
243,244,0.0,0.0,PELVIS
244,245,0.0,0.0,PELVIS
245,246,0.0001,0.0004,ELBOW_RIGHT
246,247,0.0,0.0,PELVIS
247,248,0.0,0.0,HIP_RIGHT
248,249,0.0,0.0,KNEE_RIGHT
249,250,0.0,0.0,HIP_RIGHT
250,251,0.0003,0.0008,KNEE_RIGHT
251,252,0.0,0.0,KNEE_RIGHT
252,253,0.0,0.0,PELVIS
253,254,0.0,0.0,PELVIS
254,255,0.005,0.013,WRIST_LEFT
255,256,0.0,0.0001,ELBOW_RIGHT
256,257,0.0001,0.0004,ELBOW_RIGHT
257,258,0.0004,0.0014,ELBOW_RIGHT
258,259,0.004,0.0093,BICEPS_RIGHT
